,humidity,temp,winddir,sealevelpressure,precip
0,66.1,18.5,354.3,1015.6,0.0
1,65.3,19.0,341.6,1014.9,0.0
2,69.2,19.2,6.7,1013.6,0.0
3,68.8,21.0,353.8,1014.0,0.0
4,68.7,21.9,351.9,1014.1,0.0
5,69.1,22.7,20.1,1012.0,0.0
6,66.1,24.6,293.3,1011.0,0.0
7,67.6,23.8,0.4,1011.2,0.0
8,66.6,23.7,21.6,1011.4,0.0
9,66.9,24.7,287.4,1011.1,0.0
10,73.4,23.8,359.3,1012.5,0.0
11,74.4,21.5,19.2,1013.3,0.0
12,73.2,19.1,20.5,1013.8,0.0
13,71.0,19.4,36.0,1013.6,0.0
14,72.0,18.5,19.9,1012.1,0.0
15,78.2,17.6,14.6,1011.4,0.0
16,77.5,17.6,4.4,1014.6,0.0
17,78.7,18.3,3.2,1014.1,0.0
18,81.3,19.6,178.7,1011.7,0.0
19,83.1,22.0,302.6,1010.8,0.0
20,65.1,20.6,359.1,1012.1,0.0
21,66.4,19.7,358.3,1013.3,0.0
22,79.1,17.7,349.9,1012.8,0.0
23,80.0,18.8,96.2,1013.3,0.0
24,77.6,20.7,27.6,1014.2,0.0
25,81.9,18.2,2.9,1014.4,0.0
26,70.1,17.8,353.9,1014.8,0.0
27,68.5,17.4,352.9,1015.6,0.0
28,69.2,18.7,348.8,1014.6,0.0
29,65.7,18.4,350.3,1014.4,0.0
30,66.6,17.0,346.5,1016.2,0.0
31,63.1,17.1,338.2,1017.4,0.0
32,59.4,18.1,343.4,1017.0,0.0
33,61.5,18.3,349.8,1015.8,0.0
34,60.0,19.8,4.7,1015.4,0.0
35,59.8,21.2,353.5,1014.0,0.0
36,60.9,21.3,352.9,1013.4,0.0
37,65.4,20.6,346.5,1014.8,0.324
38,62.1,19.9,338.8,1015.0,0.0
39,59.3,20.5,352.8,1014.0,0.0
40,61.7,21.2,44.0,1012.3,0.0
41,66.4,22.2,319.2,1012.9,0.0
42,61.6,23.2,348.5,1013.9,0.0
43,70.9,22.8,209.6,1013.8,0.0
44,73.6,24.1,220.0,1012.7,0.0
45,70.8,24.2,3.7,1011.5,0.0
46,70.1,24.5,255.7,1011.5,0.0
47,75.2,22.7,326.6,1012.9,0.0
48,63.6,23.6,357.3,1014.2,0.0
49,64.2,24.4,11.4,1015.6,0.0
50,68.1,23.7,4.8,1016.7,0.0
51,58.3,24.0,3.5,1015.6,0.0
52,60.7,24.2,38.5,1013.6,0.0
53,59.8,25.5,251.7,1011.4,0.0
54,66.9,26.1,314.5,1009.6,0.0
55,53.9,27.3,231.1,1008.4,0.0
56,61.3,27.7,238.1,1006.4,0.0
57,49.6,28.3,299.8,1006.5,0.0
58,57.4,28.9,228.4,1007.7,0.0
59,66.6,28.1,221.5,1010.7,0.0
60,73.2,27.7,155.3,1011.3,0.0
61,53.5,26.8,345.6,1011.0,0.0
62,56.7,26.7,228.3,1011.0,0.0
63,71.9,27.5,194.2,1009.7,0.0
64,57.3,28.4,233.4,1009.2,0.0
65,65.8,27.4,138.1,1010.8,0.0
66,72.5,27.8,187.9,1011.6,0.0
67,77.6,27.2,197.2,1010.9,0.0
68,81.9,26.9,177.4,1011.1,0.0
69,81.8,27.5,149.4,1012.3,0.0
70,79.4,27.6,105.9,1013.8,0.0
71,73.2,25.9,330.5,1013.6,0.0
72,62.7,25.7,352.6,1011.4,0.0
73,56.9,28.2,270.8,1010.1,0.0
74,55.8,28.7,309.1,1009.7,0.0
75,48.2,29.4,316.9,1009.2,0.0
76,49.7,29.2,340.7,1009.1,0.0
77,45.8,29.6,346.3,1008.3,0.0
78,50.1,30.2,322.4,1006.6,0.0
79,59.3,30.3,125.8,1007.1,0.0
80,57.6,30.7,31.0,1009.5,0.0
81,56.0,30.7,190.4,1010.3,0.0
82,57.3,30.7,14.8,1009.0,0.0
83,43.2,31.2,353.2,1008.7,0.0
84,41.1,30.8,198.7,1008.9,0.0
85,48.9,30.0,16.4,1008.0,0.0
86,66.3,30.0,168.1,1006.4,0.0
87,75.5,29.9,199.6,1004.2,0.0
88,74.4,31.3,209.7,999.4,0.0
89,61.7,32.3,229.1,997.7,0.0
90,65.6,31.2,177.0,1000.9,0.0
91,68.5,30.4,155.0,1004.5,0.0
92,70.3,30.6,200.4,1006.4,0.0
93,63.8,29.9,62.7,1007.5,0.081
94,64.7,28.1,147.4,1009.1,27.121
95,65.2,29.8,195.9,1008.6,0.0
96,73.5,29.3,178.7,1008.7,0.0
97,77.1,29.6,205.9,1007.0,0.0
98,73.9,30.0,194.3,1008.1,0.0
99,73.5,30.5,214.7,1009.4,0.0
100,62.4,31.0,216.3,1010.2,0.0
101,63.0,31.3,223.2,1010.2,0.0
102,67.6,31.2,215.8,1009.0,0.0
103,69.2,31.4,214.5,1007.7,0.0
104,70.0,31.1,200.7,1006.6,0.0
105,67.3,30.7,202.6,1006.7,0.0
106,72.4,28.9,160.1,1009.1,0.218
107,70.6,29.4,212.8,1008.5,0.0
108,55.3,31.4,251.1,1006.1,0.0
109,71.6,31.6,212.9,1006.0,0.0
110,71.2,31.1,215.6,1007.4,8.919
111,78.4,27.7,343.8,1008.5,0.0
112,58.4,30.5,307.5,1008.1,0.0
113,52.0,32.3,211.8,1006.5,0.0
114,54.4,33.1,197.6,1005.9,0.0
115,59.2,32.7,203.6,1005.3,0.0
116,70.5,32.1,202.6,1006.1,0.0
117,74.6,31.4,182.8,1007.9,0.0
118,64.5,31.1,192.1,1008.3,0.0
119,60.4,31.0,202.0,1007.5,0.0
120,54.4,30.9,193.0,1007.7,0.0
121,74.0,29.1,179.9,1008.0,0.98
122,66.7,28.6,245.2,1006.9,1.624
123,84.5,25.3,74.5,1008.1,21.418
124,82.2,26.6,187.9,1008.3,0.732
125,74.2,28.6,183.8,1009.2,10.517
126,74.2,28.7,171.6,1009.9,0.405
127,69.7,30.0,131.5,1008.5,0.0
128,81.4,28.3,209.0,1007.2,29.28
129,81.7,28.4,173.9,1005.9,0.0
130,89.1,26.9,104.4,1005.4,99.825
131,84.7,27.1,242.6,1004.2,11.081
132,81.5,27.7,257.6,1003.6,0.895
133,75.5,30.1,213.2,1003.0,0.0
134,74.7,31.9,195.1,1004.3,0.0
135,77.0,31.8,189.7,1005.4,0.0
136,74.6,32.5,205.1,1005.2,0.0
137,76.5,32.5,219.9,1004.7,0.187
138,76.8,31.8,213.0,1004.1,1.622
139,74.6,32.6,192.7,1004.3,0.0
140,70.4,32.8,196.4,1004.0,0.0
141,79.3,31.7,231.0,1002.3,1.062
142,73.3,32.9,1.4,1001.7,0.0
143,88.8,29.0,7.6,1000.9,32.977
144,90.4,27.8,34.5,996.6,5.784
145,91.6,27.1,80.3,992.1,33.079
146,91.4,28.1,150.6,997.3,92.981
147,82.9,30.7,157.9,1003.6,0.0
148,81.5,30.7,162.5,1004.9,0.0
