datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions
01-01-2021,25,13,18.5,25,13,18.5,11.7,66.1,0,0,0,27.4,11.2,354.3,1015.6,0,2.8,Clear
02-01-2021,25,14.4,19,25,14.4,19,11.7,65.3,0,0,0,22.7,9.4,341.6,1014.9,0,2.8,Clear
03-01-2021,26.1,13,19.2,26.1,13,19.2,13,69.2,0,0,0,24.8,7.6,6.7,1013.6,1.4,2.7,Clear
04-01-2021,28,15.3,21,28,15.3,21,14.4,68.8,0,0,0,25.6,14.8,353.8,1014,2.2,2.6,Clear
05-01-2021,28.1,16,21.9,28,16,21.9,15.3,68.7,0,0,0,21.6,9.4,351.9,1014.1,0.9,3,Clear
06-01-2021,29.2,16.8,22.7,29.6,16.8,22.8,16.2,69.1,0,0,0,16.2,9.4,20.1,1012,0.1,2.8,Clear
07-01-2021,31,19.6,24.6,31,19.6,24.7,17.2,66.1,0,0,0,16.2,7.6,293.3,1011,12.1,2.7,Clear
08-01-2021,29,19,23.8,29.1,19,23.9,17,67.6,0,0,0,26.3,14.8,0.4,1011.2,23,2.7,Partially cloudy
09-01-2021,28.4,20,23.7,28.7,20,23.8,16.8,66.6,0,0,0,18.7,7.6,21.6,1011.4,12.4,3.1,Clear
10-01-2021,29.4,20.3,24.7,29.4,20.3,24.7,17.6,66.9,0,0,0,16.9,11.2,287.4,1011.1,0.2,2.8,Clear
11-01-2021,28.1,20,23.8,29.6,20,24.1,18.6,73.4,0,0,0,24.1,11.2,359.3,1012.5,16.2,2.6,Clear
12-01-2021,26.1,17,21.5,26.1,17,21.5,16.5,74.4,0,0,0,24.5,11.2,19.2,1013.3,2.3,2.5,Clear
13-01-2021,22.6,16,19.1,22.6,16,19.1,14,73.2,0,0,0,24.8,16.6,20.5,1013.8,22,2.4,Partially cloudy
14-01-2021,24.1,15,19.4,24.1,15,19.4,13.9,71,0,0,0,21.6,7.6,36,1013.6,14.4,2.2,Clear
15-01-2021,23.9,14,18.5,23.9,14,18.5,13.1,72,0,0,0,20.2,7.6,19.9,1012.1,0.4,2.3,Clear
16-01-2021,23.1,14,17.6,23.1,14,17.6,13.6,78.2,0,0,0,19.8,11.2,14.6,1011.4,0.1,1.9,Clear
17-01-2021,23.1,13,17.6,23.1,13,17.6,13.3,77.5,0,0,0,23,11.2,4.4,1014.6,1.4,1.7,Clear
18-01-2021,24,13,18.3,24,13,18.3,14.2,78.7,0,0,0,18.7,5.4,3.2,1014.1,0,1.8,Clear
19-01-2021,25.4,14,19.6,25.4,14,19.6,16,81.3,0,0,0,27,7.6,178.7,1011.7,11.2,1.6,Clear
20-01-2021,27,18,22,28.2,18,22.1,18.8,83.1,0,0,0,37.4,16.6,302.6,1010.8,33.1,1.9,Partially cloudy
21-01-2021,27,16,20.6,26.3,16,20.6,12.8,65.1,0,0,0,22.7,9.4,359.1,1012.1,2.7,2.3,Clear
22-01-2021,25,15,19.7,25,15,19.7,12.6,66.4,0,0,0,22.3,9.4,358.3,1013.3,0,2.7,Clear
23-01-2021,23,14,17.7,23,14,17.7,13.8,79.1,0,0,0,18.4,9.4,349.9,1012.8,16.7,1.9,Clear
24-01-2021,25.6,13,18.8,25.6,13,18.8,15,80,0,0,0,19.1,5.4,96.2,1013.3,22,1.5,Partially cloudy
25-01-2021,26,16,20.7,26,16,20.7,16.5,77.6,0,0,0,16.6,7.6,27.6,1014.2,42.1,1.8,Partially cloudy
26-01-2021,22.5,15,18.2,22.5,15,18.2,14.9,81.9,0,0,0,27,11.2,2.9,1014.4,13.3,1.8,Clear
27-01-2021,23,13,17.8,23,13,17.8,11.7,70.1,0,0,0,29.2,16.6,353.9,1014.8,0,2.5,Clear
28-01-2021,24,12,17.4,24,12,17.4,10.8,68.5,0,0,0,28.4,13,352.9,1015.6,2.2,3,Clear
29-01-2021,25.1,13,18.7,25.1,13,18.7,12.4,69.2,0,0,0,24.5,9.4,348.8,1014.6,25.4,2.6,Partially cloudy
30-01-2021,23,15.2,18.4,23,15.2,18.4,11.4,65.7,0,0,0,28.1,11.2,350.3,1014.4,25.5,2.2,Partially cloudy
31-01-2021,23,11,17,23,11,17,10.2,66.6,0,0,0,27.7,14.8,346.5,1016.2,1.1,2.5,Clear
01-02-2021,23,12,17.1,23,12,17.1,9.3,63.1,0,0,0,29.2,11.2,338.2,1017.4,0,2.6,Clear
02-02-2021,24.1,12,18.1,24.1,12,18.1,8.9,59.4,0,0,0,30.2,11.2,343.4,1017,0,2.6,Clear
03-02-2021,25,13.1,18.3,25,13.1,18.3,10.3,61.5,0,0,0,28.4,13,349.8,1015.8,0,2.2,Clear
04-02-2021,27,14,19.8,26.6,14,19.8,11,60,0,0,0,22.3,11.2,4.7,1015.4,0,2.6,Clear
05-02-2021,28,14,21.2,27.2,14,21.1,12.2,59.8,0,0,0,18,9.4,353.5,1014,0,2.9,Clear
06-02-2021,27.1,16.1,21.3,27,16.1,21.3,13,60.9,0,0,0,28.4,13,352.9,1013.4,6,2.9,Clear
07-02-2021,24.5,17.2,20.6,24.5,17.2,20.6,13.6,65.4,0.324,100,4.17,33.8,18.4,346.5,1014.8,44.4,2.7,"Rain, Partially cloudy"
08-02-2021,26,15,19.9,26,15,19.9,11.8,62.1,0,0,0,30.2,14.8,338.8,1015,0,3.4,Clear
