datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions
01-01-2023,26,18,21.3,26,18,21.3,17.3,78.6,0,0,0,19.1,11.2,58.9,1017.3,24.6,1.5,Partially cloudy
02-01-2023,26,17,20.9,26,17,20.9,15.9,74.7,0,0,0,22.3,11.2,25.4,1018.1,11.8,2,Clear
03-01-2023,23,15.4,18.2,23,15.4,18.2,15.4,84.3,0,0,0,29.2,14.8,359.6,1018.5,24.3,1.4,Partially cloudy
04-01-2023,23,14.9,17.7,23,14.9,17.7,14.8,83.4,0,0,0,37.4,16.6,9.2,1018.4,25.6,1.7,Partially cloudy
05-01-2023,23,13,17.6,23,13,17.6,13.8,79.5,0,0,0,32.4,18.4,346.9,1019,11.2,1.9,Clear
06-01-2023,24,12.4,17.8,24,12.4,17.8,12.8,73.9,0,0,0,30.2,16.6,335.7,1018.6,0,2,Clear
07-01-2023,23,12.9,16.9,23,12.9,16.9,12.8,78.3,0,0,0,31.3,16.6,338.7,1016.5,0.1,1.8,Clear
08-01-2023,25,13,18.2,25,13,18.2,13.6,76.5,0,0,0,27,13,357.7,1015.7,2.4,1.9,Clear
09-01-2023,27,13.8,19.7,27.7,13.8,19.8,14.4,73.3,0,0,0,22.7,13,356.1,1016.7,0,2.1,Clear
10-01-2023,28,14,20.2,27.1,14,20.1,11.1,59.4,0,0,0,24.8,14.8,344.3,1015.5,0,2.8,Clear
11-01-2023,26,14.4,19.4,26,14.4,19.4,11.5,62.7,0,0,0,27.7,18.4,344.3,1013.8,0,2.5,Clear
12-01-2023,28,13.4,19.7,27,13.4,19.6,11.6,63.2,0,0,0,18.4,11.2,325.3,1012.4,2.1,2.3,Clear
13-01-2023,29,15.8,22.4,30.8,15.8,22.7,17.7,76,0,0,0,25.2,14.8,199.2,1012.5,16.9,2.1,Clear
14-01-2023,29,20.2,24.1,31.4,20.2,24.5,20.3,80.2,0,0,0,18,13,207.6,1011.9,47.9,1.9,Partially cloudy
15-01-2023,27,19.2,22.5,28.2,19.2,22.6,18.4,78.8,0,0,0,27.7,11.2,33.6,1012.1,43.2,1.4,Partially cloudy
16-01-2023,24,17,20.2,24,17,20.2,14.8,72.4,0,0,0,27,18.4,17.2,1014.1,22.7,2.1,Partially cloudy
17-01-2023,24,16,19.4,24,16,19.4,14.4,73.8,0,0,0,23,18.4,39.8,1014.7,27.6,2,Partially cloudy
18-01-2023,24,16,20.1,24,16,20.1,14.7,71.9,0.012,100,4.17,22.3,13,41.9,1016.7,46.4,2.8,"Rain, Partially cloudy"
19-01-2023,24,15.9,19.6,24,15.9,19.6,13.7,69.7,0,0,0,24.5,16.6,7.2,1017,46.5,1.9,Partially cloudy
20-01-2023,26,14,19.5,26,14,19.5,13,68.2,0,0,0,22.7,11.2,359.4,1016.1,5.4,2.1,Clear
21-01-2023,28,14.6,21.1,28.3,14.6,21.2,14.6,68.2,0,0,0,20.9,9.4,3.7,1014.6,6.6,1.6,Clear
22-01-2023,29,16,22.5,29.8,16,22.6,16.9,72.8,0,0,0,17.3,9.4,131.3,1014,2.2,1.6,Clear
23-01-2023,31,17.6,23.9,33,17.6,24.3,18.7,73.7,0,0,0,20.2,7.6,302.6,1013,1.7,1.6,Clear
24-01-2023,29,19.5,24.2,32,19.5,24.8,20.5,80.7,0,0,0,20.2,11.2,91.8,1013.3,7.4,1.5,Clear
25-01-2023,31,19.7,25,33.7,19.7,25.8,20.2,76.4,0,0,0,14,9.4,203.1,1013,10.2,1.6,Clear
26-01-2023,32,19,25.3,33.5,19,25.7,18.3,67.8,0,0,0,20.5,14.8,317.7,1012.4,2,2.2,Clear
27-01-2023,30,20,25,31.9,20,25.4,19.1,71.4,0,0,0,26.6,18.4,349.3,1013,1.4,2.4,Clear
28-01-2023,29,19.5,24,28.6,19.5,24,17.2,67.6,0,0,0,28.1,16.6,353.9,1012.7,1.8,2.4,Clear
29-01-2023,28,17,22.1,27.6,17,22,13.5,61.2,0,0,0,27.4,16.6,355.6,1013.2,8,2.9,Clear
30-01-2023,30,16.5,22.8,30.8,16.5,23,16.7,70.2,0,0,0,20.5,13,349.9,1014,4.1,2.8,Clear
31-01-2023,28,19.5,23.9,29.2,19.5,24.1,18.2,71.6,0,0,0,20.2,11.2,327.4,1012.3,67.6,2,Partially cloudy
01-02-2023,29,19.9,24.2,29.5,19.9,24.3,16.7,63.7,0,0,0,31.3,22.3,342.2,1012.3,63.4,3,Partially cloudy
02-02-2023,26,17.5,21.2,26,17.5,21.2,14.2,65.5,0,0,0,33.5,22.3,345.4,1013.7,7.3,4.8,Clear
03-02-2023,27,16,20.9,27.3,16,20.9,15,70.6,0,0,0,34.9,18.4,341.7,1013.2,7.7,2.5,Clear
04-02-2023,28,15.7,22,27.8,15.7,22,14.2,64.6,0,0,0,31.3,20.5,323.4,1011.5,2.8,2.5,Clear
05-02-2023,30,16.3,23,29.2,16.3,22.9,14.2,60.8,0,0,0,25.2,11.2,312.7,1011.3,3.3,2.6,Clear
06-02-2023,32,16.4,23.9,30.1,16.4,23.7,13.7,58.5,0,0,0,20.5,14.8,269.4,1011.1,2.8,3,Clear
07-02-2023,33,20,25.2,31.6,20,25,16,63.5,0,0,0,20.5,16.6,213.8,1010.2,13.4,2.6,Clear
08-02-2023,31,21.4,25.7,32.4,21.4,26.1,19.4,70.8,0,0,0,28.4,14.8,210.4,1010.6,24.4,2.7,Partially cloudy
09-02-2023,30,20.5,25,30.8,20.5,25.3,18.9,70.8,0,0,0,24.8,13,335.4,1011.8,6.7,2.3,Clear
10-02-2023,31,17.9,24,29.5,17.9,23.8,14.8,60.3,0,0,0,20.9,11.2,324.3,1012.3,3,2.6,Clear
11-02-2023,34,19.6,26.3,35.3,19.6,27,19.2,68.4,0,0,0,23,14.8,220.8,1011.1,19.4,2.7,Clear
12-02-2023,32,23,27,31.6,23,26.9,17.4,59.9,0,0,0,32,20.5,315,1011.4,15.9,2.9,Clear
13-02-2023,29,18.6,24.1,27.6,18.6,23.7,7.8,37.1,0,0,0,36,18.4,330.7,1013.2,1.3,3.8,Clear
14-02-2023,29,16.5,22.3,27.6,16.5,22.1,9.3,46.4,0,0,0,22.3,13,334.4,1013.1,2.9,3.3,Clear
15-02-2023,29,15,22.4,28,15,22.2,11.3,52.8,0,0,0,22.3,13,328.5,1011.4,0.8,3.1,Clear
16-02-2023,30,17.2,23.5,29,17.2,23.3,13.8,57.1,0,0,0,16.9,11.2,41.7,1012.6,21.4,2.9,Partially cloudy
17-02-2023,29,19.6,24.7,30.8,19.6,25.2,19.9,76,0,0,0,19.1,11.2,131,1013.6,41.7,2.6,Partially cloudy
18-02-2023,29,22.4,25.2,32,22.4,26,21.2,78.9,0.124,100,4.17,18.4,14.8,177,1013.5,58.2,2.2,"Rain, Partially cloudy"
19-02-2023,31,21.5,25.6,34.6,21.5,26.9,21.6,79.4,0,0,0,19.4,13,199.9,1012.7,46.2,2.5,Partially cloudy
20-02-2023,32,22.3,27,37.9,22.3,28.5,21.9,75.7,0,0,0,24.5,18.4,177.7,1011.5,42.4,2.8,Partially cloudy
21-02-2023,34,24.1,28.1,38.1,24.1,29.7,22.4,73.6,0,0,0,28.1,14.8,200.5,1011.5,46.1,2.9,Partially cloudy
22-02-2023,34,23.9,28.2,40.6,23.9,30.3,22.9,75,0,0,0,38.9,25.9,185.6,1010.3,33.7,2.8,Partially cloudy
23-02-2023,35,23.6,28.6,36.2,23.6,29.5,20.6,66.1,0,0,0,27.7,18.4,181.8,1010.9,35.9,3.1,Partially cloudy
24-02-2023,34,24.8,28.5,39.4,24.8,31.2,23.3,74.7,0,0,0,19.8,14.8,204.9,1012.3,40.7,2.7,Partially cloudy
25-02-2023,34,24.6,28.4,38.1,24.6,30.4,21.8,69.7,0,0,0,15.8,11.2,326.5,1014.9,42.4,2.5,Partially cloudy
26-02-2023,34,23,28,35.8,23,29.4,20.5,65.7,0,0,0,19.8,13,170.6,1016,23.5,2.7,Partially cloudy
27-02-2023,33,23,28.1,37,23,30,21.5,68.8,0,0,0,22.7,13,234.1,1015.6,30,2.6,Partially cloudy
28-02-2023,35,24.5,28.8,34.1,24.5,28.8,17.7,56.4,0,0,0,17.6,11.2,350.3,1016,12.5,3,Clear
01-03-2023,35,23.7,28.8,37.7,23.7,30.7,21.5,67,0,0,0,18,11.2,157.3,1016.2,13.5,2.9,Clear
02-03-2023,36,24.4,29.6,37.4,24.4,30.6,19.9,59.6,0,0,0,22.7,13,307.6,1015.7,8.9,3,Clear
03-03-2023,36,24,29.9,35.4,24,29.6,15.8,47.2,0,0,0,23.8,16.6,325.3,1015.7,0.8,3.4,Clear
04-03-2023,36,23.5,30,35.8,23.5,30,15.8,44,0,0,0,30.2,14.8,307,1015.3,0.4,3.5,Clear
05-03-2023,36,22.7,29.8,35.8,22.7,30.2,16.7,46.8,0,0,0,26.3,14.8,320.3,1014.6,2.2,3.4,Clear
06-03-2023,35,23.7,29.8,34,23.7,29.7,15.4,43.7,0,0,0,23.8,13,303.5,1013.7,1.3,3.6,Clear
07-03-2023,36,23.3,29.5,34.3,23.3,29.1,14.6,43.3,0,0,0,25.9,18.4,4.2,1014.1,23.7,3.7,Partially cloudy
08-03-2023,34,23,28.5,33.3,23,28.2,15.2,46.7,0,0,0,22.3,13,10.4,1014.8,45.4,3.5,Partially cloudy
09-03-2023,34,22.9,27.8,34.1,22.9,28.2,17.1,53.7,0,0,0,25.6,14.8,19.5,1014,43.9,3.4,Partially cloudy
10-03-2023,32,24,27.9,33.7,24,28.8,19.5,61.3,0,0,0,33.5,9.4,80,1013.3,75.4,3,Partially cloudy
11-03-2023,32,23,27,33.5,23,27.5,17.9,58.6,0,0,0,22.7,18.4,20.7,1013.5,67.7,3.3,Partially cloudy
12-03-2023,34,21,27.9,35.1,21,28.4,18.3,58.9,0,0,0,20.5,11.2,3,1012.5,22.4,3.4,Partially cloudy
13-03-2023,35,23,29.1,38.5,23,30.5,19.5,57.9,0,0,0,18.4,11.2,354,1011,6.6,3.2,Clear
14-03-2023,34,24,28.7,36.5,24,30,19.8,60.2,0,0,0,40.7,25.9,187.5,1008.9,37.3,3.2,Partially cloudy
15-03-2023,34,24.2,28.7,37.3,24.2,30.2,20.8,63.8,0,0,0,27.7,20.5,201,1008.4,55.4,4.1,Partially cloudy
16-03-2023,32,21.3,28.1,36.8,21.3,30.6,22.9,74.2,0.06,100,4.17,31.7,22.3,194.5,1010.8,61.3,2.9,"Rain, Partially cloudy"
17-03-2023,27,21,24.4,29.6,21,24.7,21.7,85.3,7.472,100,12.5,33.8,11.2,61.6,1011.8,82.1,2.3,"Rain, Partially cloudy"
18-03-2023,29,22,25.5,32.7,22,26.6,22.4,83.5,0.507,100,8.33,16.9,16.6,136.6,1010.5,82.6,1.8,"Rain, Partially cloudy"
19-03-2023,27,21,22.8,29.2,21,22.9,20.6,87.2,4.199,100,16.67,30.6,16.6,134.1,1009,87.1,2.6,"Rain, Partially cloudy"
20-03-2023,28,21.1,24.1,29.7,21.1,24.5,20.4,80.3,4.002,100,8.33,35.6,22.3,170.1,1007.8,60.8,3.2,"Rain, Partially cloudy"
21-03-2023,31,20,24.4,35.5,20,25.2,20.6,80.3,9.448,100,12.5,32.8,14.8,232.4,1008.4,53.7,3.5,"Rain, Partially cloudy"
